t0 001,00000000,00000000,0,b0201073,3,000,00,00000000,000
t0 001,00000000,00000004,0,b8201073,3,000,00,00000000,000
t0 001,00000000,00000008,0,ee0000b7,3,000,00,00000000,000
t0 001,00000000,0000000c,0,30509073,3,000,00,00000000,000
t0 001,00000000,00000010,0,f1402573,3,000,00,00000000,000
t0 001,00000000,00000014,0,893d,3,000,00,00000000,000
t0 001,00000000,00000016,0,e91d,3,000,00,00000000,000
t0 001,00000000,00000018,0,5f5550b7,3,000,00,00000000,000
t0 001,00000000,0000001c,0,55508093,3,000,00,00000000,000
t0 001,00000000,00000020,0,7c009073,3,000,00,00000000,000
t0 001,00000000,00000024,0,f00505b7,3,000,00,00000000,000
t0 001,00000000,00000028,0,15f1,3,000,00,00000000,000
t0 011,0000002e,0000002a,4505,5a023,3,000,00,00000000,000
t0 001,0000002e,00000030,4505,f00505b7,3,000,00,00000000,000
t0 001,0000002e,00000034,4505,15f1,3,000,00,00000000,000
t0 001,0000002e,00000036,4505,ca5a02f,3,000,00,00000000,000
t0 001,0000002e,0000003a,4505,7fc1d073,3,000,00,00000000,000
t0 011,00000042,0000003e,10217,d05801b7,3,000,00,00000000,000
t0 011,0000004a,00000046,a821,fbe20213,3,000,00,00000000,000
t0 001,00000058,00000062,f00505b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000070,0000006c,f00505b7,fe029be3,3,000,00,00000000,000
t0 001,0000007a,00000062,d05801b7,20283,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 011,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 011,0000006a,00000066,205,518023,3,000,00,00000000,000
t0 001,00000062,0000006c,20283,fe029be3,3,000,00,00000000,000
t0 001,00000062,00000070,20283,f00505b7,3,000,00,00000000,000
t0 001,00000062,00000074,20283,15f1,3,000,00,00000000,000
t0 011,0000007a,00000076,d05801b7,5a023,3,000,00,00000000,000
t0 011,00000082,0000007e,518023,ff00293,3,000,00,00000000,000
t0 001,0000008a,00000086,1,fe000ae3,3,000,00,00000000,000
